State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,Calhoun Energy Center,55409,CT1,2011,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT1,2012,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT1,2013,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT1,2014,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT2,2010,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT2,2011,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT2,2012,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT2,2013,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT2,2014,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT3,2010,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT3,2011,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT3,2012,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT3,2013,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT3,2014,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT4,2010,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT4,2011,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT4,2012,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT4,2013,33.5883,-85.9731
AL,Calhoun Energy Center,55409,CT4,2014,33.5883,-85.9731
AL,Charles R Lowman,56,1,2010,31.4858,-87.9106
AL,Charles R Lowman,56,1,2011,31.4858,-87.9106
AL,Charles R Lowman,56,1,2012,31.4858,-87.9106
AL,Charles R Lowman,56,1,2013,31.4858,-87.9106
AL,Charles R Lowman,56,1,2014,31.4858,-87.9106
AL,Charles R Lowman,56,2,2010,31.4858,-87.9106
AL,Charles R Lowman,56,2,2011,31.4858,-87.9106
AL,Charles R Lowman,56,2,2012,31.4858,-87.9106
AL,Charles R Lowman,56,2,2013,31.4858,-87.9106
AL,Charles R Lowman,56,2,2014,31.4858,-87.9106
AL,Charles R Lowman,56,3,2010,31.4858,-87.9106
AL,Charles R Lowman,56,3,2011,31.4858,-87.9106
AL,Charles R Lowman,56,3,2012,31.4858,-87.9106
AL,Charles R Lowman,56,3,2013,31.4858,-87.9106
AL,Charles R Lowman,56,3,2014,31.4858,-87.9106
AL,Colbert,47,1,2010,34.7439,-87.8486
AL,Colbert,47,1,2011,34.7439,-87.8486
AL,Colbert,47,1,2012,34.7439,-87.8486
AL,Colbert,47,1,2013,34.7439,-87.8486
AL,Colbert,47,1,2014,34.7439,-87.8486
AL,Colbert,47,2,2010,34.7439,-87.8486
AL,Colbert,47,2,2011,34.7439,-87.8486
AL,Colbert,47,2,2012,34.7439,-87.8486
AL,Colbert,47,2,2013,34.7439,-87.8486
AL,Colbert,47,2,2014,34.7439,-87.8486
